"343","8","Adini Yunan mitolojisindeki Ilham perisinden alan yer neresidir?","2012-12-07 13:33:55","Galeri","Atolye","Tiyatro","Muze","D","13"
"344","1","Hangisi bir kisinin uzun sureden beri etrafta gorunmedigini ifade eder?","2012-12-10 13:27:18","Kalb kalbe karsi","Yuzunu goren cennetlik","Ruzgar gibi gecti","Dunya donuyor","B","13"
"345","2","Hangisi halk arasinda dayinin esi cocuklari e kardesleri anlamindadir?","2012-12-10 13:27:31","Dayilarim","Dayimgiller","Dayiminkiler","Dayim","B","13"
"346","3","El sikisirken yapilmaya devam eden pazarliklar hangi hayvanin adiyla anilir?","2012-12-10 13:28:03","Keci","Deve","Koyun","Boga","C","13"
"347","1","Misafirin kullanmasi icin ozel olarak evde bulunan esya nedir?","2012-12-10 13:31:28","Misafir Hirkasi","Misafir Sali","Misafir Mendili","Misafir Terligi","D","13"
"349","2","Hangisi hayal gucu anlamindadir?","2012-12-10 13:32:20","Muasara","Muhayale","Munazara","Mutalaa","B","13"
"350","3","Receli ve serbeti yapilan buruk tatli kirmizi meyv nerdir?","2012-12-10 13:33:27","Hunnap","Cagla","Kizilcik","Igde","C","13"
"351","4","Dinlediginiz sarkiyi kim seslendirmektedir?","2012-12-10 13:33:31","Cem Karaca","Ekin Koray","Alpay","Ilhan Irem","A","13"
"352","5","TEM otoyolu ifadesindeki T ne demektir?","2012-12-10 13:33:57","Trafik","Turkiye","Transit","Tarihi","C","13"
"353","6","Lostra salonundaki lostra ne demektir?","2012-12-10 13:34:41","Ayakkabi Dikme","Ayakkabi Boyama","Ayakkabi Tamir","Ayakkabi Ismarlama","B","13"
"354","1","Bir konuda gec kalindigi ifade edilirken nerede sabah oldu denilir?","2012-12-10 13:40:28","Uskudar","Kalamis","Heybeli","Camlica","A","13"
"355","2","Gobekli erkeklerin gobegi genellikle neye benzetilir?","2012-12-10 13:40:58","Ayva","Karpuz","Balkon","Cumba","C","13"
"356","3","Uzerinde ziplanarak akrobatik hareketler yapilan yayli jimnastik araci nedir?","2012-12-10 13:42:02","Parasaling","Barfiks","Trambolin","Kulplu Beygir","C","13"
"357","4","Sekerin karamelize edilmesiyle elde edilen pekmez gorunumlu eksi salata sosu hangi meyveden yapilir?","2012-12-10 13:44:37","Portakal","Nar","Hurma","Seftali","B","13"
"358","5","TV'de dinlediginiz sarkiyi kim seslendirmektedir?","2012-12-10 13:45:33","Muzeyyen Senar","Safiye Ayla","Behiye Aksoy","Muazzez Ersoy","A","13"
"359","6","Orumceklerin kac bacagi vardir?","2012-12-10 13:45:55","6","8","10","12","B","13"
"360","1","Aileler kucuk cocuklari bir beden buyuk almaya ne diyerek ikna ederler?","2012-12-10 13:50:08","Dokumlu Durur","Zayiflayinca giyersin","Kaliplari dar","Buyuyunce giyersin","D","13"
"361","2","Hangisi otogar demektir?","2012-12-10 13:50:30","Mintika","Garaj","Tayyare","Sayfiye","B","13"
"362","3","Koyu pembe renkli tursusu olan salataya da konan  sebze nedir?","2012-12-10 13:51:39","Pancar","Lahana","Havuc","Turp","A","13"
"363","4","Tropikal bolgelerde yasayan sirti dikenli genelde sabit duran kertenkele turu nedir?","2012-12-10 13:52:24","Koala","Semender","Iguana","Armadilio","C","13"
"364","5","Bir masa uzerinde bulunan futbolcu maketlerini hareket ettirerek oynanan oyun hangisidir?","2012-12-10 13:53:06","Go","Domino","Langirt","Tilt","C","13"
"365","6","Muzik yelpazasini suran efsane sunucu kimdir?","2012-12-10 13:53:49","Orhan Boran","Halit Kivanc","Izzet Oz","Sezen Cumhur Onal","D","13"
"366","1","Hangisi ozellikle Turk filmlerinde anne icin yapilan bir benzetmedir?","2012-12-10 14:05:42","Kralice","Melek","Sihirbaz","Denizkizi","B","13"
"367","2","Halk arasinda nazar buyu gibi durumlari onlemek icin genellikle hangisi yapilir?","2012-12-10 14:06:59","Ayna kirmak","Tutsu yakmak","Kina yakmak","Kursun Dokturmek","D","13"
"368","3","Hangisi bir tur zeytin cinsidir?","2012-12-10 14:07:34","Sele","Sepet","Kup","Sandik","A","13"
"369","4","Buzlanma veya karlanma yapmayan dondurma kapasitesi yuksek buzdolaplarina ne denir?","2012-12-10 14:08:07","Fiber optik","Hibrit","No frost","Ankastre","C","13"
"370","5","Deniz kiyilarinda yetisen ozellikle balik lokantalarinda salatasi satilan deniz bitkisi nedir?","2012-12-10 14:08:47","Borulce","Kuskus","Bakla","Marul","A","13"
"371","6","Soguga dayanakli renkli cicekler acan guzel kokulu bitki nedir?","2012-12-10 14:09:23","Ortanca","Lale","Hanimeli","Leylak","D","13"
"372","7","TV'de dinlediginiz One Way ticket sarkisini hangi grup seslendirmektedir?","2012-12-10 14:12:23","U2","Bee Gees","ABBA","Boney M","D","13"
"373","8","Alfred Hitchcock hangi filmi icin uyarladigi kitabi cok sayida satin alip sonunu ogrenilmesini engellemek istemistir?","2012-12-10 14:13:58","Sapik","Halka","Kuslar","Arka Pencere","A","13"
"374","9","Mezar tasinda gokyuzunu olcerdim simdi dunyanin golgelerini olcecegim yazan bilim adami kimdir?","2012-12-10 14:17:12","Kepler","Kopernik","Galileo","Newton","A","13"
"375","7","TV'de dinlediginiz 'Katip arzuhalim yaz yare boyle' turkusunun sozleri kime aittir?","2012-12-14 13:28:02","Arif Sag","Pir Sultan Abdal","Karacaoglan","Dadaloglu","B","14"
"376","1","Fellik fellik aramak ne demektir?","2012-12-14 13:32:08","Hirsla Aramak","Telasla Aramak","Dikkatlice Aramak","Sabirla Aramak","B","14"
"377","2","Nerelisin sorusundan hemen sonra hangisini sormak adettendir?","2012-12-14 13:33:37","Kiyisindan mi?","Icinden mi?","Sahibinden mi?","Kiyisindan mi?","B","14"
"378","3","Pul zarfin neresine yapistirilir?","2012-12-14 13:34:21","Sag ust kose","Sol ust kose","Sag alt kose","Sol alt kcse","A","14"
"379","4","Ozellikle 80li yillarda bir cok kisinin evinde olan sedir minder gibi esyalarin bulundugu koseye ne denir?","2012-12-14 13:35:24","Amerikan bar","Kis bahcesi","Sark kosesi","Fiskos kosesi","C","14"
"380","5","Asirlik sozu ozellikle hangi agac icin kullanilir?","2012-12-14 13:35:51","Mese","Kavak","Sogut","Cinar","D","14"
"381","6","Gectigimiz gunlerde gazeticilere tahti beklerken olecegim diyen velhat kimdir?","2012-12-14 13:36:36","Prens Henry","Prens Edward","Prens Albert","PrensCharles","D","14"
"382","7","TV'de dinlediginiz 'Haydi Abbas..' diye baslayan siir hangi saire aittir?","2012-12-14 13:38:01","Cahit Sitki Taranci","Orhan Veli Kanik","Fuzuli","Ahmet Hamdi Tanpinar","A","14"
"383","8","Hitchcock'un Kuslar filmi afisinde de yer alan ve filmde cokca gorulen kus turu nedir?","2012-12-14 13:42:16","Sigircik","Guvercin","Karga","Kirlangic","C","14"
"384","9","Balmumundan heykellerin yer aldigi Madame Tussauds muzesinin sahibi Madame Tussauds'un heykelini yaptigi ilk unlu kimdir?","2012-12-17 13:31:06","Robin Hood","Kralice Victoria","Voltaire","Charlie Chaplin","C","15"
"385","1","Arkaya dogru ilerleyelim hangi tasitta soylenir?","2012-12-17 13:40:59","Taksi","Otobus","Ucak","Vapur","B","15"
"386","2","Bize de soyleyin biz de gulelim sozunu kim soyler?","2012-12-17 13:41:32","Ogretmen","Hakim","Polis","Gazeteci","A","15"
"387","3","TV'de dinlediginiz ses nereye aittir?","2012-12-17 13:42:21","Stadyum","Sirk","Pazar","Lunapark","C","15"
"388","4","Dallari ve yapraklari yere sarkan sogut agaci nedir?","2012-12-17 13:43:11","Sarmasik","Yabani","Bodur","Salkim","D","15"
"389","5","Bir kita siir okudugunuzda kac dize okumus olursunuz?","2012-12-17 13:45:05","2","4","6","8","B","15"
"390","6","Satir ve sutunlarin basinda yazan rakam kadar kutunun boyanmasiyla resim olusan oyun nedir?","2012-12-17 13:46:10","Mayin tarlasi","Tetris","Kare karalamaca","Amiral batti","C","15"
"391","7","Avrupa Birligi donem baskanliginin suresi ne kadardir?","2012-12-17 13:47:43","6 ay","1 yil","2 yil","5 yil","A","15"
"392","8","Atomun %99'unu hangisi olusturur?","2012-12-17 13:50:12","Cekirdek","Proton","Bosluk","Notron","C","15"
"393","9","Hangisi bir bitkidir?","2012-12-17 13:53:59","Yalicapkini","Havaciva","Denizhiyari","Suleymancik","B","15"
"394","1","Bircok isin ayni anda yapilmasiyla olusan durum 9 ayin hangi gunuyle ifade edilir?","2012-12-17 14:00:16","Pazartesi","Carsamba","Cuma","Pazar","B","15"
"395","1","Iyi ve dogru olmanin dis gorunusten ustunlugunu ne ifade eder?","2012-12-17 14:02:46","Yufka yurek","Akil sagligi","Ic guzelligi","Altyapi","C","15"
"396","2","Erkekler uzun uzun sikilmdadn hangisini anlatmayi sever?","2012-12-17 14:03:34","Askerlik anilari","Mac anilari","Cocukluk anilari","Tatil anilari","A","15"
"397","3","Cep telefonunda pilin azalma rengi nedir?","2012-12-17 14:04:04","Yesil","Mavi","Sari","Kirmizi","D","15"
"398","4","Eskiden mektuplarda acele cevap bekledigi nasil ifade edilirdi?","2012-12-17 14:05:14","Kestane kebap","Zehir zemberek","Palas pandiras","Deli divane","A","15"
"399","5","Bilgisayarda programi ne simgeler?","2012-12-17 14:14:24","Link","Ikon","Profil","Host","B","15"
"400","6","Halk arasinda kullanilan soze gore tarihi kimler yazar?","2012-12-17 14:14:56","Calisanlar","Dusunurler","Kazananlar","Politikacilar","C","15"
"401","7","TV'de dinlediginiz giris muzigi hangi unlu cizgi diziye aittir?","2012-12-17 14:15:45","The Simpsons","Jetgiller","Sirinler","Tas Devri","A","15"
"402","8","Eski Amerikan baskani JFK'nin tam adi nedir?","2012-12-17 14:16:50","John Frederick Kennedy","John Fitzgerald Kennedy","John Frank Kennedy","John Ford Kennedy","B","15"
"403","1","Misafirlikten kalkarken ne denir?","2012-12-21 12:59:28","Gule gule oturun","Gelen gideni aratir","Bunu saymayiz","Bize de bekleriz","D","16"
"405","2","Hem masa ortusu hem cam bezi hem de kulah olarak kullanilan nedir?","2012-12-21 13:00:44","Pecete","Poset","Gezete kagidi","Mendil","C","16"
"406","3","Daha cok eskiden kapi kapi gezerek kumas vs satan kadinlara ne denir?","2012-12-21 13:01:31","Overlokcu","Bohcaci","Hallac","Kalayci","D","16"
"407","4","Bir kisiyi onemsiz saymak icin ne denir?","2012-12-21 13:03:11","Fava","Keskek","Kaygana","Tirit","A","16"
"408","5","Dinlediginiz Rusca siiri okuyan tarihci kimdir?","2012-12-21 13:03:54","Ilber Ortayli","Murat Belge","Murat Bardakci","Erdal Inonu","A","16"
"409","8","Yunanli rahip Lacoon Yunanlilardan korkuyorum ozellikle hediye getirdiklerinde ile ne demek istemistir?","2012-12-21 13:05:06","Truva ati","Torino kefeni","Kader mizragi","Excalibur","A","16"
"410","4","Buyuk magza indirimli satis magazasi nedir?","2012-12-21 13:05:47","Magaza","Outlet","Franchise","Tax Free","B","16"
"411","9","1910'da Osmanli Makedonyasinda dogup adi Agnes Gonca Boyaci olan kimdir?","2012-12-21 13:11:33","Eva Braun","Rahibe Teresa","Coco Chanel","Mata Hari","B","16"
"412","10","Tum dunyada 5 milyon satan hangi roman yayinlanmadan 121 yayinevince reddedilip Guiness Rekorlar kitabina girmistir?","2012-12-21 13:12:37","Otostopcunun Galaksi Rehberi","Ferrarisini Satan Bilge","Zen ve Motosiklet Bakim Sanati","Da Vinci Sifresi","C","16"
"413","11","Binlerce kisinini oldugu Panama kanali insaatinda calisan ressam kimdir?","2012-12-21 13:26:24","Van Gogh","Paul Gauguin","Toulouse Lautrec","Gustav Klimt","D","16"
"420","7","Kartal kondu sozuyle tarihe gecen kimdir?","2012-12-21 13:38:58","Neil Armstrong","Harry S. Truman","Maradona","General Patton","A","16"
"421","1","Duzgun giden bir isi bozmak anlaminda ne berbat edilir?","2012-12-21 13:42:38","Bir cuval uzum","Bir cuval findik","Bir cuval elma","Bir cuval incir","D","16"
"422","2","Hangisi magazada pazarlik sirasinda soylenen musteri tarafindan soylenen klise sozdur?","2012-12-21 13:43:19","Bize kaca olur","Musteri velinimetimizdir","Gelisi kurtarmaz","Ustu kalsin","A","16"
"423","3","Karsilikli duran iki kisinin yumak yaptiklari iplik demetlerine ne denir?","2012-12-21 13:44:08","Gergef","Kuka","Makara","Cile","D","16"
"424","4","Cam porselen gibi maddelerden yapilmis esyaya ne denir?","2012-12-21 13:45:18","Aktar","Zuccaciye","Nalbur","Bijuteri","B","16"
"425","5","Ornek alinan hayranlik duyulan kisilere ne denir?","2012-12-21 13:45:53","Sef","Duayen","CEO","Idol","D","16"
"426","6","TV'de dinlediginiz ses hangi hayvana aittir?","2012-12-21 13:47:03","Deve","Fil","Boga","Maymun","B","16"
"430","7","1963 yilina kadar kisa filmleriyle birlikte 7.5 film caktigi icin sonraki filmine 8 Bucuk adini veren yonetmen kimdir?","2012-12-21 13:53:01","Akira Kurosawa","Bernardo Bertolucci","Federico Fellini","Woody Allen","C","16"
"431","8","Adini Napolyon'a bagli bir askerden alan siyasi terim nedir?","2012-12-21 14:00:32","Anarsizm","Sovenizm","Dadaizm","Vandalizm","B","16"
"432","1","Lezzettli ve guzel yemek sirasinda sevilen kisinin orada olmamasi nasil ifade edilir?","2012-12-24 13:35:30","Icime kurt dustu","Canima degsin","Bana kadar kaldi","Sensiz bogazimdan gecmedi","D","17"
"433","2","Anneler istemedikleri birseyi yapmasinlar diye cocuklarina ne derler?","2012-12-24 13:36:46","Babana soylerim","Koca adam oldun","Annene soylerim","Sessiz kalirim","A","17"
"434","3","Askin simgesi hangisidir?","2012-12-24 13:37:34","Papatya","Manolya","Karanfil","Gul","D","17"
"435","4","Resmi belgelerde kullanilan pul hangisidir?","2012-12-24 13:38:24","Damga pulu","Posta pulu","Bagis pulu","Tescil pulu","A","17"
"436","1","Birinin yaninda onun hizmetine hazir oldugunu gerekli gereksiz gostermeye ne denir?","2012-12-24 13:42:16","Gozu kara","Deli Divane ","Pesinde dolasmak","Pervane olmak","D","17"
"437","2","Calismadigim yerden cikti sozunu kim soyler?","2012-12-24 13:43:26","Ogrenciler","Futbolcular","Hakimler","Arkeologlar","A","17"
"438","5","Bir kisiye sirtini donup kollarini birakmaya ne denir?","2012-12-24 13:44:03","Sabir testi","Karakter testi","Iliski testi","Guven testi","D","17"
"439","6","Cali cirpi ile baraj yapan hayvan hangisidir?","2012-12-24 13:45:01","Kirpi","Su aygiri","Kunduz","Manda","C","17"
"440","7","TV'de dinlediginiz sarkida yapilan dansin adi nedir?","2012-12-24 13:47:10","Breakdance","Lambada","Vak vak","Moonwalk","C","17"
"441","8","Scream filminde katilin yuzune taktigi maske hangi ressamin ayni adli resminden uyarlanmistir?","2012-12-24 13:47:16","Gustav Klimt","Edvard Munch","Caravaggio","Frida Kahlo","B","17"
"442","9","Aski anlatmak icin ne soylersem soyliyim asil ask belirdi mi sozlerimden utanirim sozu kimi aittir?","2012-12-24 13:50:08","William Shakespeare","Seyh Galip","Yavuz Slutan Selim","Mevlana","D","17"
"443","10","2012'de Birlesmis Milletler 20 Mart'in ne gunu olarak kutlanmasina karar vermistir?","2012-12-24 13:55:36","Mutluluk gunu","Dostluk gunu","Kardeslik gunu","Ask gunu","A","17"
"444","2","Torbadan numarali taslar cekilerek oynanan oyun hangisidir?","2012-12-31 12:54:23","Amiralbatti","Kizmabirader","Dokuztas","Tombala","D","18"
"445","3","Yemeklik sogan nasil dogranir?","2012-12-31 12:57:29","Dilim","Tel","Kup","Halka","C","18"
"446","4","Cok gidiklanan insanlar nasildir?","2012-12-31 12:58:29","Kiskanc","Cimri","Komik","Geveze","A","18"
"447","7","2012 Time yilin kisisi kimdir?","2012-12-31 13:06:00","Lady Gaga","Barack Obama","Mark Zuckerberg","Lionel Messi","B","18"
"448","8","Yusuf Has Hacib'in eseri Kudagu Biligin anlami nedir?","2012-12-31 13:08:42","Kapilari acan bilgi","Kilavuzluk eden bilgi","Guc veren bilgi","Mutluluk veren bilgi","D","18"
"449","9","Dugunde beyaz gelinlik giyerek moda olmasini saglayan kimdir?","2012-12-31 13:10:11","Chanel","Twiggy","Kralice Victoria","Jacqueline Kennedy","C","18"
"450","10","Hangi ulkenin kadin cumhurbaskani 1994'te annesini basbakan atamistir?","2012-12-31 13:20:50","Yeni Zelanda","Filipinler","Pakistan","Sri Lanka","D","18"
"451","1","Noel Baba'nin kizagini hangi hayvan ceker?","2012-12-31 13:27:59","Ceylan","Geyik","At","Kopek","B","18"
"452","2","Filmlerde carpisip kitap dusunce kizla erkek arasinda ne olur?","2012-12-31 13:29:02","Hafiza kaybi","Ask","Dostluk","Suphe","B","18"
"453","8","1992'de ilk mesajda ne yaziyordu?","2012-12-31 13:34:02","Iyi ki dogdun","Basardik","Mutlu noeller","Iyi Gunler","C","18"
"454","9","ET filminin Turk versiyonunun adi nedir?","2012-12-31 14:05:55","UZO","Badi","Dodo","Hudaverdi","B","18"
"455","10","Hangisi cevirmeli telefonlarda en hizli cevrilebilen numaralara gore belirlenmistir?","2012-12-31 13:47:55","Sehir kodlari","Bilinmeyen numaralar","Cagri merkezleri","Ucretsiz hatlar","A","18"
"456","1","Eskiden limon ya da biryantinle taranmis saclara ne denirdi?","2012-12-31 14:05:55","Inek yalamis","Kus konmus","Elektrik carpmis","Manda yuva yapmis","A","18"
